2025-08-10 18:48:51 | ERROR | utils.core.test_framework_app:execute_pytest_tests:274 | 执行pytest测试失败: 'gbk' codec can't decode byte 0xaf in position 75: illegal multibyte sequence
2025-08-10 18:48:53 | ERROR | utils.core.test_framework_app:execute_pytest_tests:274 | 执行pytest测试失败: 'gbk' codec can't decode byte 0xaf in position 75: illegal multibyte sequence
2025-08-10 18:48:53 | ERROR | utils.core.test_framework_app:run:656 | 测试框架执行异常: [AutoTestException](SYS_002): 系统调用失败 | 详情: {'original_exception': '[AutoTestException](SYS_002): 系统调用失败 | 详情: {\'details\': "\'gbk\' codec can\'t decode byte 0xaf in position 75: illegal multibyte sequence"}', 'attempts': 2, 'function': 'execute_pytest_tests'}
2025-08-10 18:49:25 | ERROR | utils.core.test_framework_app:execute_pytest_tests:271 | 测试执行失败，退出码: 3
2025-08-10 18:49:25 | ERROR | utils.core.test_framework_app:run:649 | ============================================================
2025-08-10 18:49:25 | ERROR | utils.core.test_framework_app:run:650 | 测试执行完成 - 失败
2025-08-10 18:49:25 | ERROR | utils.core.test_framework_app:run:651 | ============================================================
2025-08-10 18:50:07 | ERROR | utils.core.test_framework_app:execute_pytest_tests:271 | 测试执行失败，退出码: 3
2025-08-10 18:50:07 | ERROR | utils.core.test_framework_app:run:649 | ============================================================
2025-08-10 18:50:07 | ERROR | utils.core.test_framework_app:run:650 | 测试执行完成 - 失败
2025-08-10 18:50:07 | ERROR | utils.core.test_framework_app:run:651 | ============================================================
2025-08-10 18:59:30 | ERROR | utils.core.test_framework_app:execute_yaml_tests:449 | 执行YAML测试失败: cannot import name 'logger_manager' from 'utils.logging.test_step_logger' (E:\code_project\cc_p\auto_case\utils\logging\test_step_logger.py)
2025-08-10 18:59:30 | ERROR | utils.core.exception_framework:wrapper:248 | 文件权限不足: [AutoTestException](FILE_004): 文件权限不足 | 详情: {'yaml_path': 'data/examples/api/basic_api_test.yaml', 'error': "cannot import name 'logger_manager' from 'utils.logging.test_step_logger' (E:\\code_project\\cc_p\\auto_case\\utils\\logging\\test_step_logger.py)"}
2025-08-10 19:01:11 | ERROR | utils.core.test_framework_app:execute_pytest_tests:255 | 测试执行失败，退出码: 1
2025-08-10 19:01:11 | ERROR | utils.core.test_framework_app:run:636 | ============================================================
2025-08-10 19:01:11 | ERROR | utils.core.test_framework_app:run:637 | 测试执行完成 - 失败
2025-08-10 19:01:11 | ERROR | utils.core.test_framework_app:run:638 | ============================================================
2025-08-10 19:01:41 | ERROR | utils.core.test_framework_app:execute_pytest_tests:255 | 测试执行失败，退出码: 3
2025-08-10 19:01:41 | ERROR | utils.core.test_framework_app:run:636 | ============================================================
2025-08-10 19:01:41 | ERROR | utils.core.test_framework_app:run:637 | 测试执行完成 - 失败
2025-08-10 19:01:41 | ERROR | utils.core.test_framework_app:run:638 | ============================================================
2025-08-10 19:01:55 | ERROR | utils.core.test_framework_app:execute_pytest_tests:255 | 测试执行失败，退出码: 3
2025-08-10 19:01:55 | ERROR | utils.core.test_framework_app:run:636 | ============================================================
2025-08-10 19:01:55 | ERROR | utils.core.test_framework_app:run:637 | 测试执行完成 - 失败
2025-08-10 19:01:55 | ERROR | utils.core.test_framework_app:run:638 | ============================================================
2025-08-10 19:02:30 | ERROR | utils.core.test_framework_app:execute_pytest_tests:255 | 测试执行失败，退出码: 3
2025-08-10 19:02:30 | ERROR | utils.core.test_framework_app:run:636 | ============================================================
2025-08-10 19:02:30 | ERROR | utils.core.test_framework_app:run:637 | 测试执行完成 - 失败
2025-08-10 19:02:30 | ERROR | utils.core.test_framework_app:run:638 | ============================================================
2025-08-10 19:02:55 | ERROR | utils.core.test_framework_app:execute_pytest_tests:255 | 测试执行失败，退出码: 3
2025-08-10 19:02:55 | ERROR | utils.core.test_framework_app:run:636 | ============================================================
2025-08-10 19:02:55 | ERROR | utils.core.test_framework_app:run:637 | 测试执行完成 - 失败
2025-08-10 19:02:55 | ERROR | utils.core.test_framework_app:run:638 | ============================================================
2025-08-10 19:05:22 | ERROR | utils.core.test_framework_app:execute_pytest_tests:255 | 测试执行失败，退出码: 3
2025-08-10 19:05:22 | ERROR | utils.core.test_framework_app:run:636 | ============================================================
2025-08-10 19:05:22 | ERROR | utils.core.test_framework_app:run:637 | 测试执行完成 - 失败
2025-08-10 19:05:22 | ERROR | utils.core.test_framework_app:run:638 | ============================================================
2025-08-10 19:05:30 | ERROR | utils.core.test_framework_app:execute_pytest_tests:255 | 测试执行失败，退出码: 3
2025-08-10 19:05:30 | ERROR | utils.core.test_framework_app:run:636 | ============================================================
2025-08-10 19:05:30 | ERROR | utils.core.test_framework_app:run:637 | 测试执行完成 - 失败
2025-08-10 19:05:30 | ERROR | utils.core.test_framework_app:run:638 | ============================================================
2025-08-10 19:25:01 | ERROR | utils.core.api.client:_execute_with_retry:229 | 请求失败，已重试3次: HTTPSConnectionPool(host='dev-api.example.com', port=443): Max retries exceeded with url: /api/login (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:997)')))
2025-08-10 19:25:01 | ERROR | utils.core.auth.login_manager:_default_login:99 | API默认登录异常: HTTPSConnectionPool(host='dev-api.example.com', port=443): Max retries exceeded with url: /api/login (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:997)')))
2025-08-10 19:26:53 | ERROR | utils.core.api.assertions:assert_status_code:35 | 创建成功状态码应为201
